ID,类别,中文名,哈++语法,参数,编译到哈语言,阻塞语义,状态,最低目标,校验规则,示例,备注
h.version,编译器,语言版本,"h.version ""<semver>""",semver: 哈++规范版本,编译期消费，不输出,none,compiler,0.29j,文件首部唯一；必须为编译器支持版本,"h.version ""1.0""",锁定源语言语义
h.target,编译器,目标版本,"h.target ""<gameVersion>""",gameVersion: 游戏版本,编译期消费，不输出,none,compiler,0.29j,文件或项目唯一；与项目目标一致,"h.target ""0.29j""",用于版本门控
h.strict,编译器,严格模式,h.strict <bool>,bool: true/false,编译期消费，不输出,none,compiler,0.29j,布尔值；项目策略可覆盖,h.strict true,决定警告是否升级为错误
h.import,编译器,导入模块,"h.import ""<path>""",path: .hxx 相对路径,编译期展开，不输出,none,compiler,0.29j,禁止循环导入；路径不得越出 include roots,"h.import ""common/dialog.hxx""",仅导入声明/宏，不改变运行时栈
legacy.raw,兼容,原始哈语言,"legacy.raw ""<line>""",line: 单行原始指令,原样输出 line,由原指令决定,raw,0.29j,禁止换行/NUL；严格模式发出 HPP9001,"legacy.raw ""SMNCREATOR TARGET_SCRIPT demo""",长尾命令逃生舱
data.let,数据,字符串赋值,let <name> = <value>,name: 变量名; value: 字符串/变量插值,name=value,none,stable,0.29j,变量名合法；保留前缀 __hpp_ 禁用,"let route = ""museum""",编译为旧字符串赋值
data.calc,数据,数值赋值,calc <name> = <expr>,name: 变量名; expr: 数值表达式,name=~expr,none,stable,0.29j,表达式可解析；变量引用存在,calc retry = retry + 1,编译为旧数学赋值
flow.if,流程,数值条件,if <expr> {,expr: 旧求值器兼容表达式,IF 'expr' {,none,stable,0.29j,括号成对；表达式非空,if retry < 3 {,结构化块
flow.elif,流程,否则如果,elif <expr> {,expr: 条件表达式,ELSIF 'expr' {,none,stable,0.29j,必须跟在 if/elif 后,elif retry == 3 {,结构化块
flow.ifstr,流程,字符串条件,ifstr <left> <op> <right> {,op: IS/ISNOT/ISIN/ISNOTIN/CONTAINS/NOTCONTAINS/STARTS/NOTSTARTS/ENDS/NOTENDS,IFSTR left op right {,none,stable,0.29j,运算符枚举；左右值必须存在,"ifstr ${choice} IS ""&&Cancel"" {",保留旧字符串比较语义
flow.else,流程,否则,else {,无,ELSE {,none,stable,0.29j,必须跟在 if/elif/ifstr 后,else {,结构化块
flow.end,流程,结束块,},无,},none,stable,0.29j,块栈不可为空,},由解析器生成/校验
flow.label,流程,标签,flow.label name=<id>,name: 标签名,LABEL name,none,stable,0.29j,同读取器唯一；禁用 __hpp_ 前缀,flow.label name=RETRY,显式低级控制流
flow.goto,流程,跳转,flow.goto label=<id>,label: 标签名,GOTO label,none,stable,0.29j,目标标签必须存在,flow.goto label=RETRY,显式低级控制流
flow.return,流程,结束当前事件,flow.return,无,SEEK_END,none,stable,0.29j,无参数,flow.return,CHANGE_EVENT2 中等价于返回
event.call,事件,插入事件,event.call id=<event> [args=[...]],id: 事件 ID; args: 可选参数列表,CHANGE_EVENT2 id args...,none,stable,0.29j,id 非空；资源索引存在时校验,event.call id=___city_farm/_rule args=[1],目标结束后回原事件
event.replace,事件,替换事件,event.replace id=<event> [args=[...]],id: 事件 ID; args: 可选参数列表,CHANGE_EVENT id args...,none,stable,0.29j,id 非空；需显式确认不返回语义,event.replace id=200/ending,目标结束后回自由行动
module.call,事件,调用模块,module.call id=<module> [args=[...]],id: 模块 ID; args: 位置参数列表,MODULE id args...,none,stable,0.29j,id 非空；参数按原位置输出,"module.call id=common/greeting args=[1,""L""]",等价于 @module
time.wait,同步,等待帧,time.wait frames=<int>,frames: 非负整数,WAIT frames,frame,stable,0.29j,frames >= 0,time.wait frames=30,不把帧隐式换算为秒
input.wait,同步,等待按键,input.wait [timeout=<int>],timeout: 可选最大等待帧,WAIT_BUTTON [timeout],input,stable,0.29j,timeout > 0；省略表示无限等待,input.wait timeout=180,按键或超时后继续
move.wait,同步,等待移动,move.wait [timeout=<int>],timeout: 可选旧命令参数,WAIT_MOVE [timeout],move,stable,0.29j,timeout 若提供必须为正整数,move.wait,聚合 EvtMoveCheck
task.wait,同步,等待功能,task.wait key=<waitKey>,waitKey: 已注册等待键,WAIT_FN waitKey,wait_fn,stable,0.29j,key 非空；能力表存在时校验,task.wait key=MAP_TRANSFER,由 IEventWaitListener 释放
timeline.after,时间线,延迟单条指令,timeline.after frames=<int> do=<command>,frames: 延迟帧; command: 一条可降级指令,TL frames <compiled command>,none,stable,0.29j,do 必须恰好降级为一条非块指令,"timeline.after frames=15 do=""audio.sfx id=cloth_off""",v1.0 不接受多语句块
timeline.flush,时间线,立即执行时间线,timeline.flush,无,DOTL,none,stable,0.29j,无参数,timeline.flush,执行此前 TL
timeline.clear,时间线,清空时间线,timeline.clear,无,CLEARTL,none,stable,0.29j,无参数,timeline.clear,放弃此前 TL
message.defer,时间线,消息后执行单条指令,message.defer do=<command>,command: 一条可降级指令,MTL <compiled command>,message,stable,0.29j,do 必须恰好降级为一条非块指令,"message.defer do=""visual.hide target=n""",等待下一条消息显示完成
message.flush,时间线,立即执行消息队列,message.flush,无,DOMTL,none,stable,0.29j,无参数,message.flush,执行此前 MTL
message.clear,时间线,清空消息队列,message.clear,无,CLEARMTL,none,stable,0.29j,无参数,message.clear,放弃此前 MTL
dialog.say,对话,显示对话,dialog.say id=<textId> [record=<recordId>],textId: 对话 ID/变量; record: 可选 R[...],MSG id [record],message,stable,0.29j,id 非空；record 形态合法,dialog.say id=n_01,允许跨事件 ID 与变量
dialog.prefix,对话,设置前缀,dialog.prefix actor=<id> text=<prefix>,actor: 角色标识; prefix: 文本前缀,MSG_PREFIX actor 'prefix',none,stable,0.29j,actor 非空；正确转义引号,"dialog.prefix actor=n text=""<shake>""",不进入对话记录
dialog.actor,对话,设置说话人位置,dialog.actor actor=<id> position=<pos>,actor: 角色标识; pos: 位置预设,TALKER actor position,none,stable,0.29j,两参数必填,dialog.actor actor=n position=L,首次使用会显示立绘槽位
dialog.actor_alias,对话,绑定姓名与音效,dialog.actor_alias actor=<id> [name=<tx>] [voice=<sound>],actor: 角色; name: 姓名词条; voice: 对话音效,TALKER_REPLACE actor [name] [voice],none,stable,0.29j,actor 必填；空参数用于恢复默认,dialog.actor_alias actor=a name=Mob voice=talk_mob_m2,保留恢复默认能力
dialog.box,对话,设置对话框,dialog.box actor=<id> position=<pos> [from=<dir>] [style=<style>],style: DEFAULT/TT/WIDE/WIDE_TT/MONOLOGUE/ONELINE/BOOK,HKDS actor position from style,none,stable,0.29j,style 枚举；actor/position 必填,dialog.box actor=n position=L from=LT style=WIDE,命名参数避免位置混淆
dialog.setup,对话,组合设置说话人,dialog.setup actor=<id> position=<pos> pose=<asset> [from=<dir>] [style=<style>],actor/position/pose 必填,TALKER; PIC; HKDS,none,stable,0.29j,展开顺序固定；每个子指令分别校验,"dialog.setup actor=n position=L pose=""a_1/a22"" from=LT style=WIDE",一对多组合指令
board.show,文本板,显示书信/告示牌,board.show id=<textId> [effect=<int>],textId: 文本 ID; effect: 常见 2/3/4,TX_BOARD id [effect],message,stable,0.29j,id 必填；effect 建议枚举 2/3/4,board.show id=*notice_01 effect=3,保留旧文本资源规则
board.hide,文本板,隐藏文本板,board.hide,无,TX_BOARD_HIDE,none,stable,0.29j,无参数,board.hide,0.29j 已确认
board.lock,文本板,锁定文本板,board.lock,无,TX_BOARD_LOCK,none,stable,0.29j,无参数,board.lock,0.29j 已确认
visual.pose,画面,设置立绘/图片,visual.pose target=<id> asset=<asset> [args=[...]],target: 角色/图层; asset: 差分或图片; args: 原扩展参数,PIC target asset args...,none,stable,0.29j,target/asset 必填；资源索引可选校验,"visual.pose target=n asset=""a_1/a22__F1""",PIC 长尾参数保留 args
